Type,Sequence_Number,Sequence_Name,Description,Key_Learning_Points,Step_Number,Timing,Key_Points,Common_Mistakes,Attack_Technique,Attack_Movement,Attack_Stance,Attack_Target,Defense_Technique,Defense_Movement,Defense_Stance,Defense_Target,Counter_Technique,Counter_Movement,Counter_Stance,Counter_Target
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,1,Simultaneous,Step forward with right foot while executing attack; defender steps back and blocks,Poor timing; weak blocks; incorrect distance,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,Walking Stance,Middle Section,,,,
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,2,Simultaneous,Continue forward momentum; maintain guard position,Dropping guard; poor footwork,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Left Leg Back,Walking Stance,Middle Section,,,,
three_step,1,Basic Three-Step Sequence #1,First three-step sparring sequence focusing on basic blocking and counter-attacking,Timing coordination; proper blocking technique; counter-attack positioning,3,Block then counter,Final attack with immediate counter; control distance,No counter-attack; poor control,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,Walking Stance,Middle Section,Reverse Punch,-,Walking Stance,Middle Section
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,1,Simultaneous,Execute high rising block against head-level attack,Low block position; poor arm angle,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,2,Simultaneous,Maintain block height; stay centered,Block too low; off-balance,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,2,Basic Three-Step Sequence #2,Second three-step sparring sequence with rising block techniques,High block execution; proper timing; effective counter-attacks,3,Block then counter,Final block with immediate punch counter,Delayed counter; weak punch,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,Knife Hand Strike,-,Walking Stance,High Section
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,1,Simultaneous,Execute proper downward block against low attack,Block too high; poor stance,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,2,Simultaneous,Maintain low block position; good balance,Rising block position; off-balance,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,3,Basic Three-Step Sequence #3,Third sequence introducing low block techniques,Low block mechanics; stance transitions; counter combinations,3,Block then counter,Final low block with punch counter,No counter; poor timing,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Inward Block,Right Leg Back,L Stance,Middle Section,Back Fist Front Strike,-,L Stance,High Section
three_step,4,Basic Three-Step Sequence #4,Fourth sequence with mixed blocking techniques,Block variety; smooth transitions; timing control,1,Simultaneous,Alternate between high and middle blocks,Inconsistent blocks; poor rhythm,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,4,Basic Three-Step Sequence #4,Fourth sequence with mixed blocking techniques,Block variety; smooth transitions; timing control,2,Simultaneous,Switch to middle block technique,Wrong block type; poor transition,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,4,Basic Three-Step Sequence #4,Fourth sequence with mixed blocking techniques,Block variety; smooth transitions; timing control,3,Block then counter,Final middle block with kick counter,Punch instead of kick; poor technique,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Inner Forearm Block,Right Leg Back,L Stance,Middle Section,"Left Hand Focus Measure, Double Punch",-,Sitting Stance,Middle Section
three_step,5,Intermediate Three-Step #1,Fifth sequence emphasizing footwork and distance,Distance management; footwork precision; counter accuracy,1,Simultaneous,Focus on precise stepping distance,Too close/far; sloppy footwork,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,5,Intermediate Three-Step #1,Fifth sequence emphasizing footwork and distance,Distance management; footwork precision; counter accuracy,2,Simultaneous,Maintain proper distance throughout,Crowding; too much distance,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Outer Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,5,Intermediate Three-Step #1,Fifth sequence emphasizing footwork and distance,Distance management; footwork precision; counter accuracy,3,Simultaneous,Precise distance for effective counter,Poor distance; weak counter,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Block,-,-,Middle Section,Right Punch,Right Leg Slide,Sitting Stance,Middle Section
three_step,6,Intermediate Three-Step #2,Sixth sequence with knife-hand techniques,Knife-hand blocks; precise hand positioning; advanced counters,1,Simultaneous,Execute knife-hand block with proper edge,Soft hand; wrong angle,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,6,Intermediate Three-Step #2,Sixth sequence with knife-hand techniques,Knife-hand blocks; precise hand positioning; advanced counters,2,Simultaneous,Maintain knife-hand position; strong block,Weak hand; poor form,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,6,Intermediate Three-Step #2,Sixth sequence with knife-hand techniques,Knife-hand blocks; precise hand positioning; advanced counters,3,Simultaneous,Knife-hand block with spear-hand counter,Punch counter; wrong technique,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Block,-,-,Middle Section,Knife Hand Inward Strike,Right Leg Slide,Sitting Stance,High Section
three_step,7,Intermediate Three-Step #3,Seventh sequence introducing combination attacks,Combination defense; multiple blocks; complex counters,1,Simultaneous,Defend against punch-kick combination,Single block only; wrong timing,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Outer Forearm Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,7,Intermediate Three-Step #3,Seventh sequence introducing combination attacks,Combination defense; multiple blocks; complex counters,2,Simultaneous,Continue combination defense sequence,Missing second defense; poor flow,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Outer Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,7,Intermediate Three-Step #3,Seventh sequence introducing combination attacks,Combination defense; multiple blocks; complex counters,3,Block then counter,Final defense with combination counter,Single counter; no variety,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Forearm Guarding Block,Slide back at 45 degrees,L Stance,Middle Section,"Front Kick from Right Leg, followed by Double Punch",-,Walking Stance,Middle Section
three_step,8,Advanced Three-Step #1,Eighth sequence with circular techniques,Circular blocks; flowing movement; evasive techniques,1,Simultaneous,Use circular blocking motion instead of linear,Linear blocks; stiff movement,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,8,Advanced Three-Step #1,Eighth sequence with circular techniques,Circular blocks; flowing movement; evasive techniques,2,Simultaneous,Continue circular movement pattern,Breaking flow; linear technique,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,8,Advanced Three-Step #1,Eighth sequence with circular techniques,Circular blocks; flowing movement; evasive techniques,3,Block then counter,Final circular block with spinning counter,Linear counter; no spin,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Guarding Block,Slide back at 45 degrees,L Stance,Middle Section,"Side Kick from Right Leg, followed by Knife Hand Strike",-,L Stance,High Section
three_step,9,Advanced Three-Step #2,Ninth sequence with advanced kicking,Kick defense mastery; kick counters; complex footwork,1,Simultaneous,Defend against advanced kicking techniques,Wrong block type; poor positioning,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Palm Inward Pushing Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,9,Advanced Three-Step #2,Ninth sequence with advanced kicking techniques,Kick defense mastery; kick counters; complex footwork,2,Simultaneous,Continue advanced kick defense pattern,Single arm block; incorrect,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Palm Inward Pushing Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,9,Advanced Three-Step #2,Ninth sequence with advanced kicking techniques,Kick defense mastery; kick counters; complex footwork,3,Block then counter,Advanced kick defense with jump kick counter,Ground counter; no jumping,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Palm Inward Pushing Block,Right Leg Back,L Stance,Middle Section,"Turning Kick from Right Leg, followed by Knife Hand Strike",-,Vertical Stance,High Section
three_step,10,Advanced Three-Step #3,Tenth sequence integrating all techniques,Complete technique integration; master level execution; flowing combinations,1,Simultaneous,Integrate all learned blocking techniques,Using basic blocks only; no variety,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Right Leg Back,L Stance,Middle Section,,,,
three_step,10,Advanced Three-Step #3,Tenth sequence integrating all techniques,Complete technique integration; master level execution; flowing combinations,2,Simultaneous,Demonstrate mastery of all techniques,Reverting to basics; no progression,Obverse Punch,Right Leg Forward,Walking Stance,Middle Section,Knife Hand Block,Left Leg Back,L Stance,Middle Section,,,,
three_step,10,Advanced Three-Step #3,Tenth sequence integrating all techniques,Complete technique integration; master level execution; flowing combinations,3,Block then counter,Master level integration with complex counter,Simple counter; no integration,Obverse Punch,Left Leg Forward,Walking Stance,Middle Section,Knife Hand Guarding Block,Slide back at 45 degrees,L Stance,Middle Section,"Reverse Side Kick from Right Leg, followed by Reverse Knife Hand Strike",-,Walking Stance,High Section
two_step,1,Basic Two-Step Sequence #1,First two-step sparring with faster pace,Increased speed; fluid movement; combination techniques,1,Simultaneous,Faster pace than three-step; maintain control,Rushing; loss of control,Obverse Punch,Right Leg Forward,Walking Stance,High Section,Outer Forearm Rising Block,Right Leg Back,Walking Stance,High Section,,,,
two_step,1,Basic Two-Step Sequence #1,First two-step sparring with faster pace,Increased speed; fluid movement; combination techniques,2,Block then counter,Immediate counter after final block,Delayed reaction; single counter only,Front Kick,Left Leg Kick,-,Middle Section,X-Fist Pressing Block,Left Leg Back,Walking Stance,Low Section,Twin Vertical Punch,-,Walking Stance,High Section
two_step,2,Basic Two-Step Sequence #2,Second two-step with different block combinations,Block combinations; counter variety; flow maintenance,1,Simultaneous,Execute different block from sequence #1,Using same blocks; predictable,Side Punch,Right Leg Forward,Fixed Stance,Middle Section,Palm Upward Block,Right Leg Back,L Stance,Middle Section,,,,
two_step,2,Basic Two-Step Sequence #2,Second two-step with different block combinations,Block combinations; counter variety; flow maintenance,2,Block then counter,Different counter technique from sequence #1,Same counter as before; no variety,Turning Kick,Left Leg Kick,-,Middle Section,Waist Block,Left Leg Back,L Stance,Middle Section,Side Elbow Thrust,Slide into Opponent's Solar Plexus,L Stance,Middle Section
two_step,3,Intermediate Two-Step #1,Third two-step introducing kicks as attacks,Defending against kicks; kick counters; advanced timing,1,Simultaneous,Defend against kick attack instead of punch,Block as if punch; wrong technique,Front Snap Kick,Right Leg Kick,-,Middle Section,X-Fist Pressing Block,Right Leg Back,Walking Stance,Low Section,,,,
two_step,3,Intermediate Two-Step #1,Third two-step introducing kicks as attacks,Defending against kicks; kick counters; advanced timing,2,Block then counter,Counter kick with different kick technique,Same kick technique; poor variety,Twin Vertical Punch,Left Leg Forward,Walking Stance,High Section,Outer Forearm Wedging Block,Left Leg Back,Walking Stance,High Section,Knee Kick,Left Leg Kick,-,Middle Section
two_step,4,Intermediate Two-Step #2,Fourth two-step with advanced combinations,Complex combinations; timing precision; technique variety,1,Simultaneous,Execute punch-kick combination attack,Single techniques; no flow,Flat Fingertip Thrust,Right Leg Forward,Walking Stance,High Section,Knife Hand Rising Block,Right Leg Back,Walking Stance,High Section,,,,
two_step,4,Intermediate Two-Step #2,Fourth two-step with advanced combinations,Complex combinations; timing precision; technique variety,2,Block then counter,Counter with multiple technique combination,Single counter; no combinations,Side Kick,Left Leg Kick,-,Middle Section,Palm Pushing Inward Block,Left Leg Back,L Stance,Middle Section,"Front Kick, followed by Twin Upset Punch",Left Leg Kick,Walking Stance,Middle Section
two_step,5,Advanced Two-Step #1,Fifth two-step with knife-hand techniques,Knife-hand applications in faster pace; precision under speed,1,Simultaneous,Execute knife-hand blocks at increased speed,Slow execution; poor form,Reverse Side Kick,Right Leg Kick,-,Middle Section,Palm Waist Block,Right Leg Back,L Stance,Middle Section,,,,
two_step,5,Advanced Two-Step #1,Fifth two-step with knife-hand techniques,Knife-hand applications in faster pace; precision under speed,2,Block then counter,Fast knife-hand block with spear-hand counter,Slow counter; wrong technique,Palm Heel Strike,Left Leg Forward,Walking Stance,High Section,Outer Forearm Inward Block,Left Leg Back,L Stance,Middle Section,Reverse Knife Hand Strike,-,Walking Stance,Middle Section
two_step,6,Advanced Two-Step #2,Sixth two-step with circular techniques,Circular movement at increased pace; flowing defense,1,Simultaneous,Apply circular blocks in two-step timing,Linear blocks; rigid movement,Turning Kick,Right Leg Kick,-,High Section,Twin Straight Outer Forearm Checking Block,Left Leg Back,Sitting Stance,High Section,,,,
two_step,6,Advanced Two-Step #2,Sixth two-step with circular techniques,Circular movement at increased pace; flowing defense,2,Block then counter,Circular defense with spinning counter technique,Linear counter; no flow,Arc Hand Strike,Left Leg Forward,Walking Stance,High Section,Hooking Bloack and Grab,Right Leg Back,L Stance,High Section,Side Kick,Left Leg Kick,-,Middle Section
two_step,7,Advanced Two-Step #3,Seventh two-step with jump techniques,Jumping attacks and defenses; aerial techniques; advanced timing,1,Simultaneous,Defend against jumping attacks effectively,Ground-based defense; wrong timing,Side Fist Strike,Right Leg Forward,L Stance,Middle Section,Twin Outer Forearm Block,Left Leg Back,L Stance,Middle Section,,,,
two_step,7,Advanced Two-Step #3,Seventh two-step with jump techniques,Jumping attacks and defenses; aerial techniques; advanced timing,2,Block then counter,Jump defense with aerial counter technique,Ground counter; no jumping,Reverse Turning Kick,Left Leg Kick,-,High Section,Forearm Guarding Block,Right Leg Back,L Stance,Middle Section,Reverse Turning Kick,Right Leg Kick,-,High Section
two_step,8,Advanced Two-Step #4,Eighth two-step integrating all techniques,Master level two-step; complete integration; expert execution,1,Simultaneous,Demonstrate mastery in two-step format,Basic techniques; no advancement,Side Kick,Right Leg Kick,-,Middle Section,Inner Forearm Inward Waist Block,Right Leg Back,L Stance,Middle Section,,,,
two_step,8,Advanced Two-Step #4,Eighth two-step integrating all techniques,Master level two-step; complete integration; expert execution,2,Block then counter,Expert level integration with master counter,Simple counter; basic techniques,Spinning Knife Hand Strike,Left Leg Forward,L Stance,High Section,Knife Hand Guarding Block,Step Back,L Stance,High Section,Back Fist Side Strike,Right Foot to Left,X Stance,High Section